what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1353698330240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698335569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698347406
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1353698349002
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1353698349090
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1353698349128
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698354245
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1353698354543
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1353698354710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698354885
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1353698355234
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1353698355360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698371868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698589164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698593835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698617142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698620719
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1353698682882
started,bundle,com.google.gdt.eclipse.designer.gpe,2.5.0.r37x201201030222,"com.google.gdt.eclipse.designer.gpe",1353698683148
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1353698683313
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1353698683348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698685274
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1353698694532
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1353698703211
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1353698703873
started,bundle,com.google.gdt.eclipse.suite,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.suite",1353698705827
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1353698711831
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1353698711975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698712131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698716022
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1353698716037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698717353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698774445
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1353698774614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698776808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698780057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1353698799997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353698802870
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698804227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698806094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698813210
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1353698813728
started,bundle,com.google.gdt.eclipse.maven,2.6.1.v201205091048-rel-r37,"com.google.gdt.eclipse.maven",1353698814007
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1353698814029
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1353698819299
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1353698824749
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1353698824803
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1353698824817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353698828236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698830838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698873493
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1353698873790
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1353698873860
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1353698878765
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698885557
closed,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1353698885581
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1353698889987
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1353698891559
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1353698912203
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1353698912283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698923250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698937178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353698937215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698951229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698969541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353698976164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699006354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699022312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699073763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353699081582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699082065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699085050
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1353699101433
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1353699114525
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1353699117114
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1353699117201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699121197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699166077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699167418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353699173693
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1353699176026
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1353699176120
